City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Caramay,PH,79.61,heavy intensity rain,10.1815,119.236,Peace and Love Beach Club
506,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
509,Poptun,GT,71.94,broken clouds,16.3311,-89.4169,Hotel Sevilla
511,Miandrivazo,MG,81.27,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
512,Bom Despacho,BR,84.09,clear sky,-19.7364,-45.2522,Sitio Sensation
513,Dibrugarh,IN,75.58,clear sky,27.4833,94.9,SHREE COTTAGE
514,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Nusa Island Retreat
522,Hirara,JP,68.85,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
523,Sabha,LY,82.2,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
524,Japura,ID,77.76,few clouds,-0.3167,102.35,Rumah mbah Jamah
525,Las Guacamayas,MX,79.81,broken clouds,18.0167,-102.2167,DIDPROQUIM
527,Jijiga,ET,72.23,few clouds,9.35,42.8,RAMAAS HOTEL
532,Castro Verde,PT,67.42,overcast clouds,37.6983,-8.0858,Hotel A Esteva
533,Tadine,NC,76.33,broken clouds,-21.55,167.8833,
535,Lakhnau,IN,85.98,haze,26.85,80.9167,C N Comforts Hotel & Dormitory
536,Luba,GQ,87.69,light rain,3.4568,8.5547,
